,annee,code,nom,conso,dept
616691,2019,15265,ydes,4.56,15
616754,2019,74315,yvoire,7.452,74
616763,2019,68385,zimmerbach,6.923,68
616766,2019,69080,échalas,7.302,69
617139,2019,55181,étain,4.909,55
617184,2019,35109,étrelles,6.251,35
617192,2019,90041,étueffont,5.917,90
617195,2019,70224,étuz,5.935,70
617196,2019,56144,évellys,5.954,56
617569,2018,30004,aigues-vives,6.9,30
617570,2018,80010,ailly-sur-noye,5.605,80
617571,2018,80011,ailly-sur-somme,4.36,80
618075,2018,61002,almeneches,5.868,61
618126,2018,01007,ambronay,6.434,1
618300,2018,69007,ampuis,6.404,69
618855,2018,59126,cantin,5.049,59
618954,2018,14137,carpiquet,4.484,14
619046,2018,87029,cars,5.046,87
619082,2018,33104,castelnau-de-medoc,5.581,33
619145,2018,59136,cateau-cambresis,4.277,59
619261,2018,45062,cercottes,6.51,45
619392,2018,13023,ceyreste,8.352,13
619393,2018,01072,ceyzeriat,5.888,1
619966,2018,71027,beaurepaire-en-bresse,4.565,71
620077,2018,35022,becherel,6.131,35
620173,2018,60060,belle-eglise,6.505,60
620174,2018,22005,belle-isle-en-terre,5.045,22
620175,2018,45031,bellegarde,6.011,45
620194,2018,61038,belleme,4.757,61
620740,2018,33052,billaux,6.302,33
620793,2018,38045,biviers,7.327,38
620978,2018,01047,blyes,7.572,1
621024,2018,02095,bohain-en-vermandois,4.456,2
621121,2018,77039,boissise-la-bertrand,7.444,77
621398,2018,29020,briec,5.202,29
621654,2018,24067,bugue,5.702,24
621656,2018,62188,burbure,4.307,62
621664,2018,60116,bury,5.455,60
621665,2018,88081,bussang,4.023,88
621702,2018,08089,buzancy,4.807,8
621703,2018,33077,cabanac-et-villagrains,7.624,33
621765,2018,81046,cadalen,7.426,81
622111,2018,14123,cairon,7.814,14
622168,2018,62194,calonne-ricouart,3.692,62
